"Reporting Starts","Reporting Ends","Ad Name","Ad Delivery",Bid,"Bid Type","Ad Set Budget","Ad Set Budget Type","Amount Spent (USD)",Ends,"Website Purchases","Website Purchase ROAS (Return on Ad Spend)",Starts,"Campaign ID","Ad Set ID","Ad ID",Reach,Frequency,Impressions,"Ad Set Delivery","Clicks (All)","CPC (All) (USD)","CTR (All)","CPM (Cost per 1,000 Impressions) (USD)","Cost per 1,000 People Reached (USD)",ThruPlays,"Video Plays at 25%","Video Plays at 50%","Video Plays at 75%","Video Average Play Time","Video Plays","CTR (Link Click-Through Rate)","Unique CTR (Link Click-Through Rate)","Unique CTR (All)","CPC (Cost per Link Click) (USD)","Cost per Unique Link Click (USD)","Campaign Name","Ad Set Name"
2015-06-15,2021-03-08,"8.18 Retinol Static_Desktop_Brand Purchasers_oCPM Action",not_delivering,990,ABSOLUTE_OCPM,40,Daily,250.23,2016-08-25,1,0.15965312,2016-08-18,6050530395942,6051845951142,6051845949742,3459,1.4960971379011,5175,not_delivering,17,14.71941176,0.32850242,48.35362319,72.34171726,,,,,00:00:00,,0.19323671497585,0.28910089621278,0.46256143,25.023,25.023,"DR_Desktop_Product - Retinol","8.18 Retinol Static_Desktop_Brand Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.18 Retinol Static_Desktop_Brand Purchasers Lookalike 1%_oCPM Action",not_delivering,990,ABSOLUTE_OCPM,30,Daily,239,2016-08-25,1,0.16715481,2016-08-18,6050530395942,6051845950142,6051845949942,5852,1.3634654818865,7979,not_delivering,36,6.63888889,0.45118436,29.95362827,40.84073821,,,,,00:00:00,,0.2005263817521,0.27341079972659,0.6151743,14.9375,14.9375,"DR_Desktop_Product - Retinol","8.18 Retinol Static_Desktop_Brand Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.18 Retinol Static_Desktop_Product Purchasers Lookalike 1%_oCPM Action",not_delivering,990,ABSOLUTE_OCPM,30,Daily,239.13,2016-08-25,1,0.70254673,2016-08-18,6050530395942,6051845950742,6051845950542,5197,1.292668847412,6718,not_delivering,25,9.5652,0.37213456,35.5954153,46.01308447,,,,,00:00:00,,0.19350997320631,0.23090244371753,0.44256302,18.39461538,19.9275,"DR_Desktop_Product - Retinol","8.18 Retinol Static_Desktop_Product Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.18 Retinol Static_Desktop_Product Purchasers_oCPM Action",not_delivering,999,ABSOLUTE_OCPM,20,Daily,29.18,2016-08-25,,,2016-08-18,6050530395942,6051845950342,6051845950942,352,1.6846590909091,593,not_delivering,0,0,0,49.2074199,82.89772727,,,,,00:00:00,,,0,0,,,"DR_Desktop_Product - Retinol","8.18 Retinol Static_Desktop_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.26 Retinol Video_Desktop/RHS_Brand Purchasers_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,50,Daily,164.42,2016-08-31,2,1.45785184,2016-08-26,6050530395942,6052349989742,6052349990742,2519,3.1826121476776,8017,not_delivering,12,13.70166667,0.14968193,20.50891855,65.27193331,,387,180,116,00:00:02,,0.049893975302482,0.15879317189361,0.39698293,41.105,41.105,"DR_Desktop_Product - Retinol","8.26 Retinol Video_Desktop/RHS_Brand Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.26 Retinol Video_Desktop/RHS_Product Purchasers_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,30,Daily,35.47,2016-08-31,1,2.25542712,2016-08-26,6050530395942,6052350293142,6052350293342,402,6.8980099502488,2773,not_delivering,2,17.735,0.07212405,12.79120087,88.23383085,,71,27,22,00:00:01,,,0,0.49751244,,,"DR_Desktop_Product - Retinol","8.26 Retinol Video_Desktop/RHS_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"8.26 Retinol Video_Desktop/RHS_Product Purchasers Lookalike 1%_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,50,Daily,274.55,2016-08-31,5,0.88508468,2016-08-26,6050530395942,6052350868742,6052350868542,7658,2.5344737529381,19409,not_delivering,55,4.99181818,0.28337369,14.14549951,35.85139723,,1010,453,285,00:00:02,,0.051522489566696,0.13058239749282,0.60067903,27.455,27.455,"DR_Desktop_Product - Retinol","8.26 Retinol Video_Desktop/RHS_Product Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"8.26 Retinol Video_Desktop/RHS_Brand Purchasers Lookalike 1%_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,50,Daily,298.92,2016-08-31,2,0.2672956,2016-08-26,6050530395942,6052350899942,6052350899742,7734,1.8258339798293,14121,not_delivering,57,5.24421053,0.40365413,21.16847249,38.65011637,,1166,560,347,00:00:02,,0.10622477161674,0.18101887768296,0.68528575,19.928,21.35142857,"DR_Desktop_Product - Retinol","8.26 Retinol Video_Desktop/RHS_Brand Purchasers Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"10.1 Acne Video_Mobile_AgilOne Purchasers - Acne_oCPM Action",not_delivering,850,ABSOLUTE_OCPM,15,Daily,519.25,2016-10-31,85,14.70630717,2016-10-01,6054759142142,6054759142542,6054759142942,6455,5.5505809450039,35829,not_delivering,434,1.19642857,1.21130927,14.49245025,80.4415182,,1062,851,726,00:00:04,,0.5861173909403,2.9589465530596,5.5460883,2.47261905,2.71858639,Mobile_Acne,"10.1 Acne Video_Mobile_AgilOne Purchasers - Acne_oCPM Action"
2015-06-15,2021-03-08,"10.1 Acne Video_Mobile_Mindshare Acne LP Visitors WCA_oCPM Action",not_delivering,950,ABSOLUTE_OCPM,5,Daily,341.54,2016-10-31,4,0.67854424,2016-10-01,6054759142142,6054759154742,6054759154942,6175,8.5680971659919,52908,not_delivering,559,0.6109839,1.05655099,6.45535647,55.31012146,,578,407,315,00:00:02,,0.44038708701898,3.1255060728745,7.04453441,1.46583691,1.76963731,Mobile_Acne,"10.1 Acne Video_Mobile_Mindshare Acne LP Visitors WCA_oCPM Action"
2015-06-15,2021-03-08,"10.1 Acne Video_Mobile_AgilOne Purchasers - Acne Lookalike 1%_oCPM Action",not_delivering,850,ABSOLUTE_OCPM,5,Daily,352.19,2016-10-31,10,1.99352622,2016-10-01,6054759142142,6054759255742,6054759255542,28908,1.817697523177,52546,not_delivering,916,0.3844869,1.7432345,6.70250828,12.1831327,,1369,1121,950,00:00:04,,0.60708712366308,0.99626400996264,2.49757852,1.10404389,1.22288194,Mobile_Acne,"10.1 Acne Video_Mobile_AgilOne Purchasers - Acne Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"11.1 Acne Video_Mobile_AgilOne Purchasers - Acne_oCPM Action",not_delivering,550,ABSOLUTE_OCPM,25,Daily,645.51,2016-11-30,113,19.60225248,2016-11-01,6054759142142,6056828039942,6056828039142,7545,5.4331345261763,40993,not_delivering,417,1.54798561,1.01724685,15.74683483,85.55467197,,833,596,479,00:00:03,,0.37811333642329,1.8687872763419,4.3074884,4.16458065,4.57808511,Mobile_Acne,"11.1 Acne Video_Mobile_AgilOne Purchasers - Acne_oCPM Action"
2015-06-15,2021-03-08,"11.1 Acne Video_Mobile_Mindshare Acne LP Visitors WCA_oCPM Action",not_delivering,800,ABSOLUTE_OCPM,5,Daily,89.26,2016-11-30,3,4.36925835,2016-11-01,6054759142142,6056828039542,6056828039342,367,12.324250681199,4523,inactive,28,3.18785714,0.61905815,19.73468937,243.21525886,,59,41,32,00:00:03,,0.3095290736237,3.8147138964578,6.8119891,6.37571429,6.37571429,Mobile_Acne,"11.1 Acne Video_Mobile_Mindshare Acne LP Visitors WCA_oCPM Action"
2015-06-15,2021-03-08,"11.1 Acne Video_Mobile_AgilOne Purchasers - Acne Lookalike 1%_oCPM Action",not_delivering,600,ABSOLUTE_OCPM,5,Daily,598.45,2016-11-30,24,4.86957975,2016-11-01,6054759142142,6056828040142,6056828039742,34433,1.4224435860947,48979,not_delivering,970,0.61695876,1.9804406,12.21850181,17.38012953,,1711,1422,1185,00:00:05,,0.66354968455869,0.90610751314146,2.30883164,1.84138462,1.91810897,Mobile_Acne,"11.1 Acne Video_Mobile_AgilOne Purchasers - Acne Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"11.1 Acne Video_Mobile_2015 Holiday Purchasers List_oCPM Action",not_delivering,600,ABSOLUTE_OCPM,15,Daily,639.74,2016-11-30,109,20.95898334,2016-11-01,6054759142142,6056828119542,6056828119342,6678,5.4144953578916,36158,not_delivering,338,1.89272189,0.93478622,17.69290337,95.79814316,,820,579,468,00:00:03,,0.37612699817468,1.8568433662773,4.0131776,4.70397059,5.15919355,Mobile_Acne,"11.1 Acne Video_Mobile_2015 Holiday Purchasers List_oCPM Action"
2015-06-15,2021-03-08,"11.1 Acne Video_Mobile_2015 Holiday Purchasers LAL 1%_oCPM Action",not_delivering,500,ABSOLUTE_OCPM,5,Daily,535.8,2016-11-30,9,1.80767077,2016-11-01,6054759142142,6056828149342,6056828149142,28587,1.2998215972295,37158,inactive,728,0.73598901,1.95920125,14.41950589,18.74278518,,1388,1113,946,00:00:05,,0.64050810054362,0.77657676566271,2.12684087,2.2512605,2.41351351,Mobile_Acne,"11.1 Acne Video_Mobile_2015 Holiday Purchasers LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Acne Video_Mobile_Mindshare Acne LP Visitors WCA_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,5,Daily,36.05,2016-12-31,,,2016-12-01,6054759142142,6058959070942,6058959072742,132,7.6136363636364,1005,inactive,7,5.15,0.69651741,35.87064677,273.10606061,,12,5,3,00:00:02,,0.29850746268657,2.2727272727273,4.54545455,12.01666667,12.01666667,Mobile_Acne,"12.1 Acne Video_Mobile_Mindshare Acne LP Visitors WCA_oCPM Action"
2015-06-15,2021-03-08,"12.1 Acne Video_Mobile_AgilOne Purchasers - Acne_oCPM Action",not_delivering,950,ABSOLUTE_OCPM,25,Daily,607.25,2016-12-31,32,5.51502676,2016-12-01,6054759142142,6058959070542,6058959072942,12544,3.5179368622449,44129,not_delivering,355,1.71056338,0.80445965,13.76079222,48.40959821,,938,703,569,00:00:03,,0.32631602800879,1.0443239795918,2.36766582,4.21701389,4.63549618,Mobile_Acne,"12.1 Acne Video_Mobile_AgilOne Purchasers - Acne_oCPM Action"
2015-06-15,2021-03-08,"12.1 Acne Video_Mobile_2015 Holiday Purchasers List_oCPM Action",not_delivering,999,ABSOLUTE_OCPM,25,Daily,868.78,2016-12-31,46,5.28954396,2016-12-01,6054759142142,6058959071742,6058959073142,7006,6.1672851841279,43208,not_delivering,279,3.11390681,0.64571376,20.10692464,124.00513845,,708,482,388,00:00:03,,0.24532493982596,1.4273479874393,3.29717385,8.19603774,8.6878,Mobile_Acne,"12.1 Acne Video_Mobile_2015 Holiday Purchasers List_oCPM Action"
2015-06-15,2021-03-08,"12.1 Acne Video_Mobile_2015 Holiday Purchasers LAL 1%_oCPM Action",not_delivering,850,ABSOLUTE_OCPM,5,Daily,243.32,2016-12-31,6,1.67269439,2016-12-01,6054759142142,6058959071142,6058959073342,12224,1.2873036649215,15736,inactive,251,0.96940239,1.59506863,15.46263345,19.90510471,,521,436,359,00:00:05,,0.52745297407219,0.67081151832461,1.69339005,2.93156627,2.96731707,Mobile_Acne,"12.1 Acne Video_Mobile_2015 Holiday Purchasers LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Acne Video_Mobile_AgilOne Purchasers - Acne Lookalike 1%_oCPM Action",not_delivering,825,ABSOLUTE_OCPM,5,Daily,243.37,2016-12-31,3,0.85836381,2016-12-01,6054759142142,6058959072342,6058959073542,16424,1.3301875304433,21847,inactive,343,0.70953353,1.57000961,11.13974459,14.81794934,,703,564,484,00:00:04,,0.48519247493935,0.62104237700925,1.65611301,2.2959434,2.38598039,Mobile_Acne,"12.1 Acne Video_Mobile_AgilOne Purchasers - Acne Lookalike 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Static_RHS_Brand Purchasers LAL 1%_oCPM Action",not_delivering,975,ABSOLUTE_OCPM,5,Daily,36.58,2016-12-31,1,0.65609623,2016-12-01,6050530395542,6059030032942,6059030033342,4761,3.7553035076665,17879,inactive,15,2.43866667,0.08389731,2.04597573,7.68325982,,,,,00:00:00,,0.083897309692936,0.29405587061542,0.29405587,2.43866667,2.61285714,"DR Facebook_RHS_Retinol","12.1 Retinol Static_RHS_Brand Purchasers LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Static_RHS_Product Purchasers LAL 1%_oCPM Action",not_delivering,850,ABSOLUTE_OCPM,5,Daily,154.98,2016-12-31,9,4.92386114,2016-12-01,6050530395542,6059030033742,6059030033542,9732,7.2328401150843,70390,not_delivering,67,2.31313433,0.09518397,2.2017332,15.92478422,,,,,00:00:00,,0.092342662309987,0.57542129058775,0.59597205,2.38430769,2.7675,"DR Facebook_RHS_Retinol","12.1 Retinol Static_RHS_Product Purchasers LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Video_Desktop_Brand Purchasers_oCPM Action",not_delivering,975,ABSOLUTE_OCPM,60,Daily,803.51,2016-12-31,4,0.45674603,2016-12-01,6050530395942,6059030709542,6059030710342,7760,2.2609536082474,17545,not_delivering,64,12.55484375,0.36477629,45.79709319,103.54510309,,3621,1567,992,00:00:01,,0.16528925619835,0.37371134020619,0.73453608,27.70724138,27.70724138,"DR_Desktop_Product - Retinol","12.1 Retinol Video_Desktop_Brand Purchasers_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Video_Desktop_Product Purchasers_oCPM Action",not_delivering,999,ABSOLUTE_OCPM,35,Daily,213.43,2016-12-31,4,2.06390854,2016-12-01,6050530395942,6059030869342,6059030869142,917,3.0610687022901,2807,inactive,10,21.343,0.35625223,76.03491272,232.7480916,,466,195,124,00:00:01,,0.21375133594585,0.54525627044711,0.98146129,35.57166667,42.686,"DR_Desktop_Product - Retinol","12.1 Retinol Video_Desktop_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Video_Desktop_Brand Purchasers LAL 1%_oCPM Action",not_delivering,850,ABSOLUTE_OCPM,15,Daily,109.77,2016-12-31,,,2016-12-01,6050530395942,6059030869542,6059030869742,2277,1.1484409310496,2615,inactive,22,4.98954545,0.84130019,41.97705545,48.20816864,,530,245,166,00:00:02,,0.30592734225621,0.30742204655248,0.83443127,13.72125,15.68142857,"DR_Desktop_Product - Retinol","12.1 Retinol Video_Desktop_Brand Purchasers LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Video_Desktop_Product Purchasers LAL 1%_oCPM Action",not_delivering,975,ABSOLUTE_OCPM,20,Daily,794.18,2016-12-31,7,0.9404669,2016-12-01,6050530395942,6059030868942,6059030869942,10506,1.3162954502189,13829,not_delivering,80,9.92725,0.57849447,57.42859209,75.59299448,,2882,1277,811,00:00:01,,0.18801070214766,0.23795926137445,0.69484104,30.54538462,31.7672,"DR_Desktop_Product - Retinol","12.1 Retinol Video_Desktop_Product Purchasers LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Acne Video_Mobile_Murad Fans_oCPM Action",not_delivering,975,ABSOLUTE_OCPM,20,Daily,240.39,2016-12-31,2,0.71550397,2016-12-08,6054759142142,6059574207142,6059574206742,22272,1.7957076149425,39994,inactive,364,0.66041209,0.91013652,6.0106516,10.79337284,,599,444,359,00:00:03,,0.27254088113217,0.45797413793103,1.38739224,2.20541284,2.35676471,Mobile_Acne,"12.1 Acne Video_Mobile_Murad Fans_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Static_RHS_Retinol LAL 1%_oCPM Action",not_delivering,850,ABSOLUTE_OCPM,5,Daily,239.4,2016-12-31,1,0.21720969,2016-12-08,6050530395542,6059575311542,6059575311342,22608,5.9994249823071,135635,not_delivering,69,3.46956522,0.05087183,1.76503115,10.58917197,,,,,00:00:00,,0.051609097946695,0.29635527246992,0.29193206,3.42,3.57313433,"DR Facebook_RHS_Retinol","12.1 Retinol Static_RHS_Retinol LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Static_RHS_Murad Fans_oCPM Action",not_delivering,950,ABSOLUTE_OCPM,10,Daily,201.42,2016-12-31,9,3.25563499,2016-12-08,6050530395542,6059575311742,6059575311942,14100,10.384397163121,146420,not_delivering,80,2.51775,0.05463734,1.37563174,14.28510638,,,,,00:00:00,,0.053954377817238,0.48936170212766,0.4964539,2.54962025,2.91913043,"DR Facebook_RHS_Retinol","12.1 Retinol Static_RHS_Murad Fans_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Video_Desktop_Retinol LAL 1%_oCPM Action",not_delivering,850,ABSOLUTE_OCPM,15,Daily,561.29,2016-12-31,1,0.30109213,2016-12-08,6050530395942,6059575604342,6059575604142,12136,1.2813117996045,15550,not_delivering,23,24.40391304,0.14790997,36.09581994,46.25,,2679,1024,625,00:00:01,,0.051446945337621,0.0659195781147,0.18127884,70.16125,70.16125,"DR_Desktop_Product - Retinol","12.1 Retinol Video_Desktop_Retinol LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"12.1 Retinol Video_Desktop_Murad Fans_oCPM Action",not_delivering,900,ABSOLUTE_OCPM,5,Daily,359.81,2016-12-31,,,2016-12-08,6050530395942,6059575604542,6059575604742,8038,1.9646678278179,15792,not_delivering,49,7.34306122,0.31028369,22.78432118,44.76362279,,2575,941,604,00:00:01,,0.056990881458967,0.11196815128141,0.54739985,39.97888889,39.97888889,"DR_Desktop_Product - Retinol","12.1 Retinol Video_Desktop_Murad Fans_oCPM Action"
2015-06-15,2021-03-08,"1.1 Retinol Static_RHS_Brand Purchasers_oCPM Action",not_delivering,0,CPA,5,Daily,184.82,2017-01-31,22,11.36808787,2017-01-01,6050530395542,6060508069942,6060508069542,10382,23.985262955115,249015,inactive,141,1.31078014,0.05662309,0.74220428,17.80196494,,,,,00:00:00,,0.056623094994277,1.1847428241187,1.18474282,1.31078014,1.50260163,"DR Facebook_RHS_Retinol","1.1 Retinol Static_RHS_Brand Purchasers_oCPM Action"
2015-06-15,2021-03-08,"1.1 Retinol Static_RHS_Product Purchasers_oCPM Action",not_delivering,0,CPA,10,Daily,91.22,2017-01-31,4,4.92216619,2017-01-01,6050530395542,6060508069742,6060508070542,909,51.793179317932,47080,inactive,31,2.94258065,0.06584537,1.9375531,100.3520352,,,,,00:00:00,,0.065845369583687,2.2002200220022,2.20022002,2.94258065,4.561,"DR Facebook_RHS_Retinol","1.1 Retinol Static_RHS_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"1.1 Retinol Static_RHS_Product Purchasers LAL 1%_oCPM Action",not_delivering,0,CPA,5,Daily,51.83,2017-01-31,,,2017-01-01,6050530395542,6060508070142,6060508070742,7748,5.1916623644812,40225,inactive,38,1.36394737,0.09446861,1.28850218,6.68946825,,,,,00:00:00,,0.089496581727781,0.45172947857512,0.47754259,1.43972222,1.48085714,"DR Facebook_RHS_Retinol","1.1 Retinol Static_RHS_Product Purchasers LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"1.1 Retinol Static_RHS_Retinol LAL 1%_oCPM Action",not_delivering,0,CPA,5,Daily,51.47,2017-01-31,1,1.70973383,2017-01-01,6050530395542,6060508070342,6060508070942,13400,5.1746268656716,69340,inactive,31,1.66032258,0.04470724,0.7422844,3.84104478,,,,,00:00:00,,0.04903374675512,0.25373134328358,0.23134328,1.51382353,1.51382353,"DR Facebook_RHS_Retinol","1.1 Retinol Static_RHS_Retinol LAL 1%_oCPM Action -"
2015-06-15,2021-03-08,"1.1 Retinol Static_Desktop_Retinol LAL 1%_oCPM Action",not_delivering,0,CPA,5,Daily,74.53,2017-01-15,,,2017-01-01,6050530395942,6060508235142,6060508234942,10466,1.2038027899866,12599,not_delivering,36,2.07027778,0.28573696,5.91554885,7.12115421,,,,,00:00:00,,0.2619255496468,0.31530670743359,0.3344162,2.25848485,2.25848485,"DR_Desktop_Product - Retinol","1.1 Retinol Static_Desktop_Retinol LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"1.1 Retinol Static_Desktop_Product Purchasers_oCPM Action",not_delivering,0,CPA,25,Daily,107.36,2017-01-15,1,1.21087928,2017-01-01,6050530395942,6060508234342,6060508235342,739,3.1894451962111,2357,not_delivering,3,35.78666667,0.12728044,45.54942724,145.27740189,,,,,00:00:00,,0.084853627492575,0.27063599458728,0.40595399,53.68,53.68,"DR_Desktop_Product - Retinol","1.1 Retinol Static_Desktop_Product Purchasers_oCPM Action"
2015-06-15,2021-03-08,"1.1 Retinol Static_Desktop_Product Purchasers LAL 1%_oCPM Action",not_delivering,0,CPA,5,Daily,74.17,2017-01-15,6,7.68369961,2017-01-01,6050530395942,6060508234742,6060508235542,7832,1.1824565883555,9261,not_delivering,47,1.57808511,0.50750459,8.00885434,9.47012257,,,,,00:00:00,,0.34553503941259,0.40858018386108,0.58733401,2.3178125,2.3178125,"DR_Desktop_Product - Retinol","1.1 Retinol Static_Desktop_Product Purchasers LAL 1%_oCPM Action"
2015-06-15,2021-03-08,"1.1 Retinol Static_Desktop_Brand Purchasers_oCPM Action",not_delivering,0,CPA,20,Daily,167.42,2017-01-15,5,3.32696213,2017-01-01,6050530395942,6060508234542,6060508235742,6606,2.1089918256131,13932,not_delivering,28,5.97928571,0.20097617,12.01693942,25.34362701,,,,,00:00:00,,0.10048808498421,0.21192854980321,0.40871935,11.95857143,11.95857143,"DR_Desktop_Product - Retinol","1.1 Retinol Static_Desktop_Brand Purchasers_oCPM Action"
